Stock,Date,Close
META,08-01-2013,$37.489
META,07-31-2013,$36.80
META,07-30-2013,$37.627
META,07-29-2013,$35.43
META,07-26-2013,$34.01
META,07-25-2013,$34.359
META,07-24-2013,$26.51
META,07-23-2013,$26.13
META,07-22-2013,$26.045
META,07-19-2013,$25.881
META,07-18-2013,$26.18
AMZN,07-17-2023,$133.56
AMZN,07-14-2023,$134.68
AMZN,07-13-2023,$134.30
AMZN,07-12-2023,$130.80
AMZN,07-11-2023,$128.78
AMZN,07-10-2023,$127.13
AMZN,07-07-2023,$129.78
AMZN,07-06-2023,$128.36
AMZN,07-05-2023,$130.38
AMZN,07-03-2023,$130.22
AMZN,06-30-2023,$130.36
AMZN,06-29-2023,$127.90
AMZN,06-28-2023,$129.04
AMZN,06-27-2023,$129.18
AMZN,06-26-2023,$127.33
AMZN,06-23-2023,$129.33
AMZN,06-22-2023,$130.15
AMZN,06-21-2023,$124.83
AMZN,06-20-2023,$125.78
AMZN,06-16-2023,$125.49
AMZN,06-15-2023,$127.11
AMZN,06-14-2023,$126.42
AMZN,06-13-2023,$126.66
AMZN,06-12-2023,$126.57
AMZN,06-09-2023,$123.43
AMZN,06-08-2023,$124.25
AMZN,06-07-2023,$121.23
AMZN,06-06-2023,$126.61
AMZN,06-05-2023,$125.30
AMZN,06-02-2023,$124.25
AMZN,06-01-2023,$122.77
AMZN,05-31-2023,$120.58
AMZN,05-30-2023,$121.66
AMZN,05-26-2023,$120.11
AMZN,05-25-2023,$115.00
AMZN,05-24-2023,$116.75
AMZN,05-23-2023,$114.99
AMZN,05-22-2023,$115.01
AMZN,05-19-2023,$116.25
AMZN,05-18-2023,$118.15
AMZN,05-17-2023,$115.50
AMZN,05-16-2023,$113.40
AMZN,05-15-2023,$111.20
AMZN,05-12-2023,$110.26
AMZN,05-11-2023,$112.18
AMZN,05-10-2023,$110.19
AMZN,05-09-2023,$106.62
AMZN,05-08-2023,$105.83
AMZN,05-05-2023,$105.655
AMZN,05-04-2023,$104.00
AMZN,05-03-2023,$103.65
AMZN,05-02-2023,$103.63
AMZN,05-01-2023,$102.05
AMZN,04-28-2023,$105.45
AMZN,04-27-2023,$109.82
AMZN,04-26-2023,$104.98
AMZN,04-25-2023,$102.57
AMZN,04-24-2023,$106.21
AMZN,04-21-2023,$106.96
AMZN,04-20-2023,$103.81
AMZN,04-19-2023,$104.30
AMZN,04-18-2023,$102.30
AMZN,04-17-2023,$102.74
AMZN,04-14-2023,$102.51
AMZN,04-13-2023,$102.40
AMZN,04-12-2023,$97.83
AMZN,04-11-2023,$99.92
AMZN,04-10-2023,$102.17
AMZN,04-06-2023,$102.06
